,filename,time_difference
132,flevopark_6_audio1_2021-12-10_07-23-10_(4).flac,-364188.0
133,flevopark_6_audio1_2021-12-10_16-00-00_(5).flac,-396587.5
134,flevopark_6_audio1_2021-12-10_18-23-10_(6).flac,-405177.5
135,flevopark_6_audio1_2021-12-10_20-46-20_(7).flac,-411683.0
136,flevopark_6_audio1_2021-12-11_05-00-00_(8).flac,-443387.5
137,flevopark_6_audio1_2021-12-11_07-23-10_(9).flac,-450588.0
138,flevopark_6_audio1_2021-12-11_16-00-00_(10).flac,-482987.5
139,flevopark_6_audio1_2021-12-11_18-23-10_(11).flac,-491577.5
140,flevopark_6_audio1_2021-12-11_20-46-20_(12).flac,-498083.0
141,flevopark_6_audio1_2021-12-12_05-00-00_(13).flac,-529787.5
142,flevopark_6_audio1_2021-12-12_07-23-10_(14).flac,-536988.0
143,flevopark_6_audio1_2021-12-12_16-00-00_(15).flac,-569387.5
144,flevopark_6_audio1_2021-12-12_18-23-10_(16).flac,-577977.5
145,flevopark_6_audio1_2021-12-12_20-46-20_(17).flac,-584483.0
146,flevopark_6_audio1_2021-12-13_05-00-00_(18).flac,-616187.5
147,flevopark_6_audio1_2021-12-13_07-23-10_(19).flac,-623388.0
148,flevopark_6_audio1_2021-12-13_16-00-00_(20).flac,-655787.5
149,flevopark_6_audio1_2021-12-13_18-23-10_(21).flac,-664377.5
150,flevopark_6_audio1_2021-12-13_20-46-20_(22).flac,-670883.0
151,flevopark_6_audio1_2021-12-14_05-00-00_(23).flac,-702587.5
152,flevopark_6_audio1_2021-12-14_07-23-10_(24).flac,-709788.0
153,flevopark_6_audio1_2021-12-14_16-00-00_(25).flac,-742187.5
154,flevopark_6_audio1_2021-12-14_18-23-10_(26).flac,-750777.5
155,flevopark_6_audio1_2021-12-14_20-46-20_(27).flac,-757283.0
156,flevopark_6_audio1_2021-12-15_05-00-00_(28).flac,-788555.35
157,flevopark_6_audio1_2021-12-15_16-00-00_(29).flac,-824973.65
158,flevopark_6_audio1_2021-12-16_05-00-00_(30).flac,-871545.95
159,flevopark_6_audio1_2021-12-16_16-00-00_(31).flac,-910984.15
160,flevopark_6_audio1_2021-12-19_05-00-00_(32).flac,-1130316.0
161,flevopark_6_audio1_2021-12-19_16-00-00_(33).flac,-1169906.85
162,flevopark_6_audio1_2021-12-20_05-00-00_(34).flac,-1216700.8
163,flevopark_6_audio1_2021-12-20_16-00-00_(35).flac,-1256295.8
164,flevopark_6_audio1_2021-12-21_05-00-00_(36).flac,-1303093.15
165,flevopark_7_audio1_2021-12-09_16-00-00_(0).flac,-1599069.5
166,flevopark_7_audio1_2021-12-09_18-23-10_(1).flac,-1607659.5
167,flevopark_7_audio1_2021-12-09_20-46-20_(2).flac,-1614165.0
168,flevopark_7_audio1_2021-12-10_05-00-00_(3).flac,-1645869.5
169,flevopark_8_audio1_2021-09-17_02-23-10_(1).flac,-20623.5
170,flevopark_8_audio1_2021-09-17_04-46-20_(2).flac,-29213.5
171,flevopark_8_audio1_2021-09-17_09-32-40_(4).flac,26040.5
172,flevopark_8_audio1_2021-09-17_00-00-00_(0).flac,-12033.5
173,flevopark_8_audio1_2021-09-17_07-09-30_(3).flac,34630.5
174,flevopark_8_audio1_2021-09-17_14-19-00_(7).flac,8860.5
175,flevopark_8_audio1_2021-09-17_23-51-40_(11).flac,-975.0
176,flevopark_8_audio1_2021-09-17_11-55-50_(6).flac,17450.5
177,flevopark_12_audio1_2021-11-18_20-46-20_(4).flac,1368004.0
178,flevopark_12_audio1_2021-11-18_18-23-10_(2).flac,1375442.7
179,flevopark_5_audio1_2021-11-18_20-46-20_(2).flac,251706.0
180,flevopark_12_audio1_2021-11-18_16-00-00_(1).flac,1383099.5
181,flevopark_12_audio1_2021-11-18_18-23-10_(3).flac,1374509.5
182,flevopark_12_audio1_2021-11-19_20-46-20_(11).flac,1281604.0
183,flevopark_5_audio1_2021-11-18_16-00-00_(0).flac,266801.5
184,flevopark_5_audio1_2021-11-18_18-23-10_(1).flac,258211.5
185,flevopark_5_audio1_2021-11-19_05-00-00_(3).flac,220001.5
186,flevopark_8_audio1_2021-11-18_18-23-10_(0).flac,-258148.5
187,flevopark_8_audio1_2021-11-18_20-46-20_(1).flac,-264654.0
188,flevopark_8_audio1_2021-11-19_07-23-10_(3).flac,-303559.0
189,flevopark_3_audio1_2021-11-18_16-00-00_(0).flac,-78325.15
190,flevopark_3_audio1_2021-11-19_05-00-00_(1).flac,-125088.0
191,flevopark_3_audio1_2021-11-19_16-00-00_(2).flac,130547.3
192,flevopark_3_audio1_2021-11-20_05-00-00_(3).flac,83785.15
193,flevopark_5_audio1_2022-01-17_20-46-20_(2).flac,-2952461.0
194,flevopark_5_audio1_2022-01-18_07-23-10_(4).flac,-2991366.0
195,flevopark_5_audio1_2022-01-18_20-46-20_(7).flac,-3038861.0
196,flevopark_5_audio1_2022-06-04_17-04-00_(3096).flac,-14860138.5
197,flevopark_5_audio1_2022-06-04_17-05-00_(3097).flac,-14860198.5
198,flevopark_5_audio1_2022-06-04_17-06-00_(3098).flac,-14860258.5
199,flevopark_5_audio1_2022-06-04_17-07-00_(3099).flac,-14860318.5
200,flevopark_5_audio1_2022-06-04_17-08-00_(3100).flac,-14860378.5
201,flevopark_5_audio1_2022-06-04_17-09-00_(3101).flac,-14860438.5
202,flevopark_5_audio1_2022-06-04_17-10-00_(3102).flac,-14860498.5
203,flevopark_5_audio1_2022-06-04_17-11-00_(3103).flac,-14860558.5
204,flevopark_5_audio1_2022-06-04_17-12-00_(3104).flac,-14860618.5
205,flevopark_5_audio1_2022-06-04_17-13-00_(3105).flac,-14860678.5
206,flevopark_5_audio1_2022-06-04_17-14-00_(3106).flac,-14860738.5
207,flevopark_5_audio1_2022-06-04_17-15-00_(3107).flac,-14860798.5
208,flevopark_5_audio1_2022-06-04_17-16-00_(3108).flac,-14860858.5
209,flevopark_5_audio1_2022-06-04_17-17-00_(3109).flac,-14860918.5
210,flevopark_5_audio1_2022-06-04_17-18-00_(3110).flac,-14860978.5
211,flevopark_5_audio1_2022-06-04_17-19-00_(3111).flac,-14861038.5
212,flevopark_5_audio1_2022-06-04_17-20-00_(3112).flac,-14861098.5
213,flevopark_5_audio1_2022-06-04_17-21-00_(3113).flac,-14861158.5
214,flevopark_5_audio1_2022-06-04_17-22-00_(3114).flac,-14861218.5
215,flevopark_5_audio1_2022-06-04_17-23-00_(3115).flac,-14861278.5
216,flevopark_5_audio1_2022-06-04_17-24-00_(3116).flac,-14861338.5
217,flevopark_5_audio1_2022-06-04_17-25-00_(3117).flac,-14861398.5
218,flevopark_5_audio1_2022-06-04_17-26-00_(3118).flac,-14861458.5
219,flevopark_5_audio1_2022-06-04_17-27-00_(3119).flac,-14861518.5
220,flevopark_5_audio1_2022-06-04_17-28-00_(3120).flac,-14861578.5
221,flevopark_5_audio1_2022-06-04_17-29-00_(3121).flac,-14861638.5
222,flevopark_5_audio1_2022-06-04_17-30-00_(3122).flac,-14861698.5
223,flevopark_5_audio1_2022-06-04_17-31-00_(3123).flac,-14861758.5
224,flevopark_5_audio1_2022-06-04_17-32-00_(3124).flac,-14861818.5
225,flevopark_5_audio1_2022-06-04_17-33-00_(3125).flac,-14861878.5
226,flevopark_5_audio1_2022-06-04_17-34-00_(3126).flac,-14861938.5
227,flevopark_5_audio1_2022-06-04_17-35-00_(3127).flac,-14861998.5
228,flevopark_5_audio1_2022-06-04_17-36-00_(3128).flac,-14862058.5
229,flevopark_5_audio1_2022-06-04_17-37-00_(3129).flac,-14862118.5
230,flevopark_5_audio1_2022-06-04_17-38-00_(3130).flac,-14862178.5
231,flevopark_5_audio1_2022-06-04_17-39-00_(3131).flac,-14862238.5
232,flevopark_5_audio1_2022-06-04_17-40-00_(3132).flac,-14862298.5
233,flevopark_5_audio1_2022-06-04_17-41-00_(3133).flac,-14862358.5
234,flevopark_5_audio1_2022-06-04_17-42-00_(3134).flac,-14862418.5
235,flevopark_5_audio1_2022-06-04_17-43-00_(3135).flac,-14862478.5
236,flevopark_5_audio1_2022-06-04_17-44-00_(3136).flac,-14862538.5
237,flevopark_5_audio1_2022-06-04_17-45-00_(3137).flac,-14862598.5
238,flevopark_5_audio1_2022-06-04_17-46-00_(3138).flac,-14862658.5
239,flevopark_5_audio1_2022-06-04_17-47-00_(3139).flac,-14862718.5
240,flevopark_5_audio1_2022-06-04_17-48-00_(3140).flac,-14862778.5
241,flevopark_5_audio1_2022-06-04_17-49-00_(3141).flac,-14862838.5
242,flevopark_5_audio1_2022-06-04_17-50-00_(3142).flac,-14862898.5
243,flevopark_5_audio1_2022-06-04_17-51-00_(3143).flac,-14862958.5
244,flevopark_5_audio1_2022-06-04_17-52-00_(3144).flac,-14863018.5
245,flevopark_5_audio1_2022-06-04_17-53-00_(3145).flac,-14863078.5
246,flevopark_5_audio1_2022-06-04_17-54-00_(3146).flac,-14863138.5
247,flevopark_5_audio1_2022-06-04_17-55-00_(3147).flac,-14863198.5
248,flevopark_5_audio1_2022-06-04_17-56-00_(3148).flac,-14863258.5
249,flevopark_5_audio1_2022-06-04_17-57-00_(3149).flac,-14863318.5
250,flevopark_5_audio1_2022-06-04_17-58-00_(3150).flac,-14863378.5
251,flevopark_5_audio1_2022-06-04_17-59-00_(3151).flac,-14863438.5
252,flevopark_5_audio1_2022-06-04_18-00-00_(3152).flac,-14863498.5
253,flevopark_5_audio1_2022-06-04_18-01-00_(3153).flac,-14863558.5
254,flevopark_5_audio1_2022-06-04_18-02-00_(3154).flac,-14863618.5
255,flevopark_5_audio1_2022-06-04_18-03-00_(3155).flac,-14863678.5
256,flevopark_5_audio1_2022-06-04_18-04-00_(3156).flac,-14863738.5
257,flevopark_5_audio1_2022-06-04_18-05-00_(3157).flac,-14863798.5
258,flevopark_5_audio1_2022-06-04_18-06-00_(3158).flac,-14863858.5
259,flevopark_5_audio1_2022-06-04_18-07-00_(3159).flac,-14863918.5
260,flevopark_5_audio1_2022-06-04_18-08-00_(3160).flac,-14863978.5
261,flevopark_5_audio1_2022-06-04_18-09-00_(3161).flac,-14864038.5
262,flevopark_5_audio1_2022-06-04_18-10-00_(3162).flac,-14864098.5
263,flevopark_5_audio1_2022-06-04_18-11-00_(3163).flac,-14864158.5
264,flevopark_5_audio1_2022-06-04_18-12-00_(3164).flac,-14864218.5
265,flevopark_5_audio1_2022-06-04_18-13-00_(3165).flac,-14864278.5
266,flevopark_5_audio1_2022-06-04_18-14-00_(3166).flac,-14864338.5
267,flevopark_5_audio1_2022-06-04_18-15-00_(3167).flac,-14864398.5
268,flevopark_5_audio1_2022-06-04_18-16-00_(3168).flac,-14864458.5
269,flevopark_5_audio1_2022-06-04_18-17-00_(3169).flac,-14864518.5
270,flevopark_5_audio1_2022-06-04_18-18-00_(3170).flac,-14864578.5
271,flevopark_5_audio1_2022-06-04_18-19-00_(3171).flac,-14864638.5
